Time,Open,High,Low,Close,Adj Close,Volume,bullish,volume_before_1,volume_diff_last_hour,volume_before_2,volume_diff_last_2_hour,volume_before_3,volume_diff_last_3_hour,volume_before_4,volume_diff_last_4_hour,volume_before_5,volume_diff_last_5_hour,close_before_1,close_diff_last_hour,close_before_2,close_diff_last_2_hour,close_before_3,close_diff_last_3_hour,close_before_4,close_diff_last_4_hour,close_before_5,close_diff_last_5_hour,close_before_6,close_diff_last_6_hour,close_before_7,close_diff_last_7_hour,close_before_8,close_diff_last_8_hour,close_before_9,close_diff_last_9_hour,SMA_15,SMA_30,SMA_indicator,SMA_indicator_before_1,SMA_indicator_before_2,SMA_indicator_before_3,SMA_indicator_before_4,Upper_Bollinger,Lower_Bollinger,Middle_Bollinger,close_diff_Upper_Bollinger,close_diff_Lower_Bollinger,Bollinger_indicator,Bollinger_indicator_before_1,Bollinger_indicator_before_2,Bollinger_indicator_before_3,Bollinger_indicator_before_4,true_range,holiday_day_diff_before,date,weekday,time,mean_sentiment_score,median_sentiment_score,std_sentiment_score,max_sentiment_score,min_sentiment_score
04-10-2019 14:30,375.0450134,375.3399963,374.1700134,374.8799133,374.8799133,191831,1,191165,43985,147180,-94698,241878,37925,203953,-270584,474537,91090,375.0321045,1.274597168,373.7575073,-1.142486572,374.8999939,-0.247497559,375.1474915,1.237487793,373.9100037,1.684997559,372.2250061,1.095001221,371.1300049,-0.229980469,371.3599854,0.949981689,370.4100037,0.459991455,371.6741353,373.0190063,0,0,0,0,0,377.06406,363.9855371,370.5247986,-2.184146704,10.8943762,2,2,2,2,2,1.16998291,36,4,4,6,0.203046506,0.195690587,0.133845393,0.433117926,-0.010840412
04-10-2019 15:30,374.8800049,376.1300049,374.7600098,375.6300049,375.6300049,263770,1,191831,666,191165,43985,147180,-94698,241878,37925,203953,-270584,374.8799133,-0.152191162,375.0321045,1.274597168,373.7575073,-1.142486572,374.8999939,-0.247497559,375.1474915,1.237487793,373.9100037,1.684997559,372.2250061,1.095001221,371.1300049,-0.229980469,371.3599854,0.949981689,372.1594686,372.8583394,0,0,0,0,0,377.7069261,364.1137801,370.9103531,-2.076921212,11.5162248,2,2,2,2,2,1.369995117,36,4,4,7,0.062777766,0.063766209,0.136289663,0.181924567,-0.058345921
07-10-2019 09:30,373.8500061,374.9200134,373.0599976,374.6199951,374.6199951,288897,0,263770,71939,191831,666,191165,43985,147180,-94698,241878,37925,375.6300049,0.750091553,374.8799133,-0.152191162,375.0321045,1.274597168,373.7575073,-1.142486572,374.8999939,-0.247497559,375.1474915,1.237487793,373.9100037,1.684997559,372.2250061,1.095001221,371.1300049,-0.229980469,372.6301351,372.6316996,0,0,0,0,0,377.7082127,365.1144924,371.4113525,-3.08821759,9.505502747,2,2,2,2,2,2.570007324,33,7,0,1,0.13950618,0.157713845,0.152241048,0.402101994,-0.229560867
07-10-2019 10:30,374.5812073,375.7600098,373.3599854,374.9899902,374.9899902,262672,0,288897,25127,263770,71939,191831,666,191165,43985,147180,-94698,374.6199951,-1.010009766,375.6300049,0.750091553,374.8799133,-0.152191162,375.0321045,1.274597168,373.7575073,-1.142486572,374.8999939,-0.247497559,375.1474915,1.237487793,373.9100037,1.684997559,372.2250061,1.095001221,373.1534668,372.4516988,1,0,0,0,0,377.8287398,365.8774644,371.8531021,-2.83874956,9.112525805,2,2,2,2,2,2.400024414,33,7,0,2,0.180475399,0.180475399,,0.180475399,0.180475399
07-10-2019 11:30,374.9500122,375.519989,374.8099976,375.1799927,375.1799927,119916,0,262672,-26225,288897,25127,263770,71939,191831,666,191165,43985,374.9899902,0.369995117,374.6199951,-1.010009766,375.6300049,0.750091553,374.8799133,-0.152191162,375.0321045,1.274597168,373.7575073,-1.142486572,374.8999939,-0.247497559,375.1474915,1.237487793,373.9100037,1.684997559,373.5414673,372.319695,1,1,0,0,0,378.0664779,366.3657243,372.2161011,-2.8864852,8.814268403,2,2,2,2,2,0.709991455,33,7,0,3,0.120248057,0.120248057,,0.120248057,0.120248057
07-10-2019 12:30,375.1799927,375.6799927,374.6600037,375.5799866,375.5799866,135259,0,119916,-142756,262672,-26225,288897,25127,263770,71939,191831,666,375.1799927,0.190002441,374.9899902,0.369995117,374.6199951,-1.010009766,375.6300049,0.750091553,374.8799133,-0.152191162,375.0321045,1.274597168,373.7575073,-1.142486572,374.8999939,-0.247497559,375.1474915,1.237487793,373.9167989,372.2481974,1,1,1,0,0,378.3566932,366.7545068,372.5556,-2.776706621,8.825479814,2,2,2,2,2,1.019989014,33,7,0,4,,,,,
07-10-2019 13:30,375.6000061,378.1499939,375.6000061,377.9299927,377.9299927,345907,0,135259,15343,119916,-142756,262672,-26225,288897,25127,263770,71939,375.5799866,0.399993896,375.1799927,0.190002441,374.9899902,0.369995117,374.6199951,-1.010009766,375.6300049,0.750091553,374.8799133,-0.152191162,375.0321045,1.274597168,373.7575073,-1.142486572,374.8999939,-0.247497559,374.4181315,372.2941976,1,1,1,1,0,378.9543879,367.1148107,373.0345993,-1.024395243,10.81518199,2,2,2,2,2,2.570007324,33,7,0,5,0.146948684,0.146948684,0.045157456,0.178879827,0.115017541
07-10-2019 14:30,377.9249878,378.1300049,376.6099854,377.1099854,377.1099854,300314,0,345907,210648,135259,15343,119916,-142756,262672,-26225,288897,25127,377.9299927,2.350006104,375.5799866,0.399993896,375.1799927,0.190002441,374.9899902,0.369995117,374.6199951,-1.010009766,375.6300049,0.750091553,374.8799133,-0.152191162,375.0321045,1.274597168,373.7575073,-1.142486572,374.8014648,372.2865306,1,1,1,1,1,379.1041213,367.9200761,373.5120987,-1.994135963,9.189909279,2,2,2,2,2,1.520019531,33,7,0,6,-0.065632541,-0.084966004,0.105795009,0.11418701,-0.163996935
07-10-2019 15:30,377.0700073,377.0700073,375.9100037,376.4100037,376.4100037,192063,0,300314,-45593,345907,210648,135259,15343,119916,-142756,262672,-26225,377.1099854,-0.820007324,377.9299927,2.350006104,375.5799866,0.399993896,375.1799927,0.190002441,374.9899902,0.369995117,374.6199951,-1.010009766,375.6300049,0.750091553,374.8799133,-0.152191162,375.0321045,1.274597168,375.1534648,372.2925303,1,1,1,1,1,378.8321438,369.1190525,373.9755981,-2.422140126,7.290951161,2,2,2,2,2,1.199981689,33,7,0,7,-0.03324912,-0.054585036,0.276526136,0.302389055,-0.43940711
08-10-2019 09:30,371.1491089,371.9100037,368.6600037,368.75,368.75,932817,1,192063,-108251,300314,-45593,345907,210648,135259,15343,119916,-142756,376.4100037,-0.699981689,377.1099854,-0.820007324,377.9299927,2.350006104,375.5799866,0.399993896,375.1799927,0.190002441,374.9899902,0.369995117,374.6199951,-1.010009766,375.6300049,0.750091553,374.8799133,-0.152191162,374.9217977,372.0518636,1,1,1,1,1,378.9296658,368.960532,373.9450989,-10.17966578,-0.21053197,4,2,2,2,2,7.75,32,8,1,1,0.123474574,0.157715149,0.172536177,0.487614155,-0.344091535
